,sentence,start,end
0,"""I know how hard this job can be. That’s why I know she’ll be so good at it."" —@POTUS https://t.co/RDjefd0t9f",0,109
1,We can't wait to welcome back President Barack Obama and @HillaryClinton to Wisconsin on Wednesday! #WIBackHer https://t.co/Td6wplVCD2,110,244
2,"""I’m with her, I’m fired up, and I can’t wait to get out there and campaign for Hillary."" —@POTUS https://t.co/ptbhfpCooQ",245,366
3,Delete your account. https://t.co/Oa92sncRQY,367,411
4,"""She’s got the courage, the compassion, and the heart to get the job done."" Watch President Obama endorse Hillary. https://t.co/DzKgMFgdmP",412,550
5,"Honored to have you with me, @POTUS. I'm fired up and ready to go! -H",551,620
6,"President Obama endorses Hillary: ""I don’t think there’s ever been someone so qualified to hold this office."" https://t.co/KetvKoa853",621,754
7,We have to make sure climate denial does not find a home in the White House. https://t.co/MeATytYK6L,755,855
8,This Oakland entrepreneur is doing more than running a small business—he's changing lives. https://t.co/2g47l5hjDX,856,970
9,History &gt; bedtime. https://t.co/Au3gF3dRG0,971,1016
10,Sierra Club has endorsed @HillaryClinton for president! Read our statement: https://t.co/slDURlrx22,1017,1116
11,Donald Trump's School of Philanthropy: 1. Pledge money to causes 2. Do nothing 3. Cut a check only if you get caught https://t.co/cEpsCCrI06,1117,1257
12,“It’s a simple but powerful idea: We believe that we are stronger together.” —Hillary https://t.co/BpXIJZNcDy,1258,1367
13,A note from Hillary. https://t.co/LHSZvl7ODF,1368,1412
14,"My 8 year old said ""See Mom, it's true, anything is possible."" #ImWithHer @HillaryClinton https://t.co/suDv0mYTzg",1413,1526
15,A headline 227 years in the making. https://t.co/7RDeQ3bQ3z https://t.co/IuHMa3tUTr,1527,1610
16,"This AM I told my 5-yo daughter we could elect the first woman President. She said, “OK, I’ll be the 2nd woman President then.” #HistoryMade",1611,1751
17,History. https://t.co/CkDyWA2Bfv https://t.co/hI52yd3ATf,1752,1808
18,Front pages from around the country on a big day. https://t.co/bNrJXn967S https://t.co/JA2R2R9drQ,1809,1906
19,"If Hillary could go back in time and tell anyone she'd been nominated for president, it would be her mom. https://t.co/LfcqMPQ0ST",1907,2036
20,"Speaking is hard for me. But come January, I want to say these two words: ""Madam President."" #ImWithHer",2037,2140
21,WATCH: @HillaryClinton gets emotional as she looks out over cheering crowd before her speech with @DavidMuir. https://t.co/wS1gEeChnO,2141,2274
22,"Let’s keep making history, together. https://t.co/7IIvZVW3HY",2275,2335
23,"Thank you, California! https://t.co/EgtQpT6JZT",2336,2382
24,Don’t let anyone tell you that great things can’t happen in America. https://t.co/dtgjwmcfMm,2383,2475
25,"I keep saying Hillary is the ultimate changemaker, and tonight she proved it. I couldn't be more proud. History made. #ImWithHer",2476,2604
26,Don’t let anyone tell you great things can’t happen in America. Barriers can come down. Justice &amp; equality can win. https://t.co/5xcwapDvPJ,2605,2748
27,Text CONGRATS to 47246 to tell Hillary you're proud to be by her side all the way to the White House. https://t.co/bBCd6SF3Vf,2749,2874
28,Thank you. https://t.co/JeMUyYFlzJ,2875,2909
29,We made history tonight—but we have more work to do. Chip in if you've got Hillary's back: https://t.co/iQy1FYwUkM,2910,3024
30,"""This campaign is about making sure there are no ceilings—no limits—on any of us."" —Hillary #ImWithHer https://t.co/HtFmnfoJxc",3025,3151
31,Wish Mom could have been here to see tonight. https://t.co/NalmZoKoV7,3152,3221
32,"""On the very day Mom was being born in Chicago, Congress was passing the 19th Amendment to the Constitution—giving women the right to vote.""",3222,3362
33,"""We are stronger when we respect each other, listen to each other, and act with a sense of common purpose."" —Hillary",3363,3479
34,This election isn’t about the same old fights between Democrats and Republicans—it’s about who we are as Americans. https://t.co/uHSSsV1S1k,3480,3619
35,"We should lift each other up—not tear each other down. To be great, we can’t be small. We have to be as big as the values that define us.",3620,3757
36,"Unity is better than division, empowerment is better than resentment, and bridges are better than walls. https://t.co/FZbfs0Fc72",3758,3886
37,“Donald Trump is temperamentally unfit to be president and Commander-in-Chief.” —Hillary,3887,3975
38,It’s a simple but powerful idea. We are fairer together. We are better together. We are stronger together. https://t.co/aWCQon5U7q,3976,4106
39,"""Whether you supported me in this primary, or Senator Sanders, we all need to keep working toward that better, fairer, stronger America.""",4107,4244
40,"""As your president, I will always have your back."" —Hillary",4245,4304
41,We reached this moment thanks to the struggle and sacrifice of generations of women and men before us.,4305,4407
42,"For the first time in our history, a woman will be a major party’s nominee for President of the United States. https://t.co/4iLojpuPj8",4408,4542
