,sentence,start,end
0,President Obama should ask the DNC about how they rigged the election against Bernie.,0,85
1,"See you tomorrow w/ Gov. @Mike_Pence, Iowa &amp; Wisconsin! 3pm- https://t.co/3Hcnzj0Slx 7pm- https://t.co/sEwLWkn1Sz https://t.co/UODSMp0oTo",86,227
2,"Thank you Portland, Maine! #MakeAmericaGreatAgain https://t.co/oVfF28rWL5 https://t.co/RhblAXkNPw",228,325
3,Happy 226th Birthday to the United States Coast Guard. Thank you @USCG! #CoastGuardDay https://t.co/hr4O8Xgq2R,326,436
4,"Great meeting all of you. This group knocked on 50K doors &amp; counting here in Maine, thank you! @MaineGOP https://t.co/Iui1F2z9ca",437,569
5,"Looking forward to IA &amp; WI with Gov. Pence, tomorrow. Join us! #MAGA https://t.co/3Hcnzj0Slx https://t.co/sEwLWkn1Sz https://t.co/0Ei3EdQdXB",570,714
6,"Thank you Jacksonville, Florida! #MakeAmericaGreatAgain https://t.co/xrTQjt9WOC https://t.co/VSnBoQYoZs",715,818
7,Thank you for your support of my candidacy! #MAGA #ImWithYou https://t.co/Al5bZlRFYk,819,903
8,"Thank you to the amazing law enforcement officers today- in Daytona Beach, Florida! #LESM #MAGA https://t.co/QoxJf4Xzbc",904,1023
9,"THANK YOU Daytona Beach, Florida! #MakeAmericaGreatAgain https://t.co/IAcLfXe463",1024,1104
10,"Join me in Colorado, today! Look forward to seeing you! Denver- 2pm https://t.co/8VbvJYDa4F Colorado Springs- 6pm https://t.co/GZwqr4NbR0",1105,1242
11,"Our incompetent Secretary of State, Hillary Clinton, was the one who started talks to give 400 million dollars, in cash, to Iran. Scandal!",1243,1381
12,"There is great unity in my campaign, perhaps greater than ever before. I want to thank everyone for your tremendous support. Beat Crooked H!",1382,1522
13,Great day in Virginia. Crowd was fantastic!,1523,1566
14,My daughter @IvankaTrump will be on @Greta tonight at 7pm. Enjoy! https://t.co/QySC5PLFMy,1567,1656
15,Report raises questions about ‘Clinton Cash’ from Russians during ‘reset' https://t.co/vVcAzY2zcp,1657,1754
16,President Obama will go down as perhaps the worst president in the history of the United States!,1755,1851
17,Democrat Fire Marshal Turns THOUSANDS of Trump Supporters Away at Columbus Rally https://t.co/TO8oE5cv8Z via @gatewaypundit,1852,1975
18,"#ICYMI: John Podesta’s Brother Pocketed $180,000 from Putin’s Uranium Company: https://t.co/d0LfyiBlvX https://t.co/I5fF3didZs",1976,2102
19,#CrookedHillary https://t.co/xe0I0EmxMa,2103,2142
20,Join me in Florida tomorrow! #MakeAmericaGreatAgain Daytona | 3pm- https://t.co/jbOS2s4qGI Jacksonville | 7pm- https://t.co/XSF1kp7R54,2143,2277
21,STATEMENT IN RESPONSE TO PRESIDENT OBAMA'S FAILED LEADERSHIP: https://t.co/SPgFIFuSO7,2278,2363
22,Thank you Virginia! #ImWithYou https://t.co/9inCh1BVwM,2364,2418
23,The Washington Post calls out #CrookedHillary for what she REALLY is. A PATHOLOGICAL LIAR! Watch that nose grow! https://t.co/FsrUGByuuD,2419,2555
24,Great afternoon in Ohio &amp; a great evening in Pennsylvania - departing now. See you tomorrow Virginia! https://t.co/jQTQYBFpdb,2556,2685
25,"Just leaving Mechanicsburg, PA. Incredible crowd-- so enthusiastic! Will be back soon. #MAGA https://t.co/RbuXfDZ5w9",2686,2802
26,".@realDonaldTrump stops by overflow room in Mechanicsburg, Pennsylvania- prior to main rally. #TrumpMovement #MAGA🇺🇸 https://t.co/aFLka9ZJRn",2803,2943
27,Vast numbers of manufacturing jobs in Pennsylvania have moved to Mexico and other countries. That will end when I win!,2944,3062
28,"Thanks to @pnehlen for your kind words, very much appreciated.",3063,3125
29,Join me in Florida on Wednesday! Daytona &amp; Jacksonville: Daytona | 3pm- https://t.co/rJjYUbwiLL Jacksonville | 7pm- https://t.co/zfxeNbr1nq,3126,3269
30,"During the GOP convention, CNN cut away from the victims of illegal immigrant violence. They don’t want them heard. https://t.co/EHRiLkQDWD",3270,3409
31,When will CNN do a segment on Hillary’s plan to increase Syrian refugees 550% and how much it will cost?,3410,3514
32,Hillary Clinton raked in money from regimes that horribly oppress women and gays &amp; refuses to speak out against Radical Islam.,3515,3645
33,"Hillary, whose decisions have led to the deaths of many, accepted $ from a business linked to ISIS. Silence at CNN. https://t.co/gJYSSXtpaz",3646,3785
34,Crooked Hillary Clinton is 100% owned by her donors. #ImWithYou #MAGA https://t.co/iYM3CCWS2z,3786,3879
35,"Thank you Columbus, Ohio! I will be back soon. #ImWithYou #MAGA https://t.co/vMf1EPJp4r",3880,3967
36,Thank you Oklahoma &amp; Virginia! #MakeAmericaGreatAgain #ImWithYou https://t.co/WUdY7feRvV,3968,4060
37,People believe CNN these days almost as little as they believe Hillary....that's really saying something!,4061,4166
38,"The people who support Hillary sit behind CNN anchor chairs, or headline fundraisers - those disconnected from real life.",4167,4288
39,Will CNN send its cameras to the border to show the massive unreported crisis now unfolding -- or are they worried it will hurt Hillary?,4289,4425
40,When will we see stories from CNN on Clinton Foundation corruption and Hillary's pay-for-play at State Department?,4426,4540
41,"CNN anchors are completely out of touch with everyday people worried about rising crime, failing schools and vanishing jobs.",4541,4665
42,CNN will soon be the least trusted name in news if they continue to be the press shop for Hillary Clinton.,4666,4772
43,"Join Governor Mike Pence in Reno, Nevada- tonight at 7pm! Tickets available at: https://t.co/4nLjRGyFYw",4773,4876
44,#CrookedHillary https://t.co/oHI6xrDJU0,4877,4916
45,"So with all of the Obama tough talk on Russia and the Ukraine, they have already taken Crimea and continue to push. That's what I said!",4917,5052
46,"When I said in an interview that Putin is ""not going into Ukraine, you can mark it down,"" I am saying if I am President. Already in Crimea!",5053,5192
47,"This story is not about Mr. Khan, who is all over the place doing interviews, but rather RADICAL ISLAMIC TERRORISM and the U.S. Get smart!",5193,5331
48,"Mr. Khan, who does not know me, viciously attacked me from the stage of the DNC and is now all over T.V. doing the same - Nice!",5332,5459
49,"Wow, it is unbelievable how distorted, one-sided and biased the media is against us. The failing @nytimes is a joke. @CNN is laughable!",5460,5595
50,"""@RealJamesWoods: Without absolutely OWNING the liberal media, HillaryClinton wouldn't stand a chance. #VoterFraud and #MSM her only hope.""",5596,5735
51,"The dishonest media is fawning over the Democratic Convention. I wonder why, then, my speech had millions of more viewers than Crooked H?",5736,5873
52,"I was viciously attacked by Mr. Khan at the Democratic Convention. Am I not allowed to respond? Hillary voted for the Iraq war, not me!",5874,6009
53,"Captain Khan, killed 12 years ago, was a hero, but this is about RADICAL ISLAMIC TERROR and the weakness of our ""leaders"" to eradicate it!",6010,6148
54,Nielson Media Research final numbers on ACCEPTANCE SPEECH: TRUMP 32.2 MILLION. CLINTON 27.8 MILLION. Thank you!,6149,6260
55,Thank you to all of the television viewers that made my speech at the Republican National Convention #1 over Crooked Hillary and DEMS.,6261,6395
56,Can you imagine if I had the small crowds that Hillary is drawing today in Pennsylvania. It would be a major media event! @CNN @FoxNews,6396,6531
57,NATO commander agrees members should pay up via @dcexaminer: https://t.co/VZLDFy707K,6532,6616
58,"Wow, NATO's top commander just announced that he agrees with me that alliance members must PAY THEIR BILLS. This is a general I will like!",6617,6755
59,"The ""Rust Belt"" was created by politicians like the Clintons who allowed our jobs to be stolen from us by other countries like Mexico. END!",6756,6895
60,"Crooked's stop in Johnstown, Pennsylvania, where jobs have been absolutely decimated by dumb politicians, drew less than 200 - with Bill, VP",6896,7036
61,"#CrookedHillary = Obama's third term, which would be terrible news for our economic growth - seen below. https://t.co/y9WJoUaaql",7037,7165
62,Word is that Crooked Hillary has very small and unenthusiastic crowds in Pennsylvania. Perhaps it is because her husband signed NAFTA?,7166,7300
63,"I turned down a meeting with Charles and David Koch. Much better for them to meet with the puppets of politics, they will do much better!",7301,7438
64,"Why doesn't the media want to report that on the two ""Big Thursdays"" when Crooked Hillary and I made our speeches - Republican's won ratings",7439,7579
65,#CrookedHillary https://t.co/xyoPFJmByp,7580,7619
66,"Crooked Hillary Clinton is soft on crime, supports open borders, and wants massive tax hikes. A formula for disaster!",7620,7737
67,"Violent crime is rising across the United States, yet the DNC convention ignored it. Crime reduction will be one of my top priorities.",7738,7872
68,Just got back from Colorado. The love and enthusiasm at two rallies was incredible. Big crowds!,7873,7968
69,While I am in OH &amp; PA - you can also join @Mike_Pence in Nevada on Mon! Carson City: https://t.co/28G3RVbFsn Reno: https://t.co/4nLjRGyFYw,7969,8111
70,"Join me Monday in Columbus, Ohio &amp; Harrisburg, Pennsylvania! #MAGA 3pm in OH: https://t.co/DDg0AUsqRq 7pm in PA: https://t.co/VmSLBvL43l",8112,8252
71,American homeownership rate in Q2 2016 was 62.9% - lowest rate in 51yrs. WE will bring back the 'American Dream!' https://t.co/yI4Q8FHRjp,8253,8390
72,We are suffering through the worst long-term unemployment in the last 70 years. I want change - Crooked Hillary Clinton does not.,8391,8520
73,"Hillary can never win over Bernie supporters. Her foreign wars, NAFTA/TPP support &amp; Wall Street ties are driving away millions of votes.",8521,8661
74,"Colorado was amazing yesterday! So much support. Our tax, trade and energy reforms will bring great jobs to Colorado and the whole country.",8662,8801
75,"""@patrioticpepe: @realDonaldTrump ONLY TRUMP CAN UNITE AMERICA AND FIX OBAMA'S MISTAKES!!! #Trump2016 https://t.co/yB72Bm2muM""",8802,8928
76,"Thank you Denver, Colorado! #MakeAmericaGreatAgain! https://t.co/1KHrLdkOyW",8929,9004
77,"As usual, Hillary &amp; the Dems are trying to rig the debates so 2 are up against major NFL games. Same as last time w/ Bernie. Unacceptable!",9005,9147
78,#CrookedHillary Job Application https://t.co/CKXkAlGSiV,9148,9203
79,Hillary Clinton should not be given national security briefings in that she is a lose cannon with extraordinarily bad judgement &amp; insticts.,9204,9347
80,Thank you to the amazing law enforcement officers in Colorado! #MakeAmericaGreatAgain #LESM https://t.co/glxTQYAQiN,9348,9463
81,Thank you Colorado Springs. Get out &amp; VOTE #TrumpPence16 in November! https://t.co/wK02fWzJey,9464,9561
82,"""Only a Reagan or a Trump-like figure in the White House will achieve this goal."" https://t.co/6a7Ef12giZ",9562,9667
83,"Even Bill is tired of the lies, SAD! https://t.co/LPk1OkwH9P",9668,9728
84,Join me in Colorado Springs at 2pm- or in Denver tonight at 7pm! Colorado Springs: https://t.co/HgFW7IRtz9 Denver: https://t.co/aE5P9jNcFC,9729,9867
85,What Bernie Sanders really thinks of Crooked Hillary Clinton. https://t.co/VgMaAsZBep,9868,9953
86,"I am watching Crooked Hillary speak. Same old stuff, our country needs change!",9954,10032
87,"Wow, my campaign is hearing from more and more Bernie supporters that they will NEVER support Crooked Hillary. She sold them out, V.P. pick!",10033,10173
88,In Hillary Clinton's America - things get worse. #TrumpPence16 https://t.co/WdHbnhhCbW,10174,10260
89,The dishonest media didn't mention that Bernie Sanders was very angry looking during Crooked's speech. He wishes he didn't make that deal!,10261,10399
90,Thank you! Facebook: https://t.co/nmlRJqzA7S Instagram: https://t.co/5gDeluaBXG https://t.co/Pw7GS8R9Gg,10400,10503
91,"Crooked Hillary said that I ""couldn't handle the rough and tumble of a political campaign."" Really,I just beat 16 people and am beating her!",10504,10644
