,sentence,start,end
0,Last night our nation was attacked by a radical Islamic terrorist,0,65
1,It was the worst terrorist attack on our soil since 9/11 and the second of its kind in 6 months,490,585
2,My deepest sympathy and support goes out to the victims the wounded and their families,1005,1091
3,"""In his remarks today President Obama disgracefully refused to even say the words Radical Islam",1429,1524
4,For that reason alone he should step down,1880,1921
5,"If Hillary Clinton after this attack still cannot say the two words Radical Islam she should get out of this race for the Presidency."" ""If we do not get tough and smart real fast we are not going to have a country anymore",2182,2403
6,Because our leaders are weak I said this was going to happen – and it is only going to get worse,2606,2702
7,I am trying to save lives and prevent the next terrorist attack,3005,3068
8,"We cant afford to be politically correct anymore."" The terrorist Omar Mir Saddique Mateen is the son of an immigrant from Afghanistan who openly published his support for the Afghanistani Taliban and even tried to run for  ",3359,3580
9,  of people in Afghanistan support oppressive Sharia Law,3905,3959
10,We admit more than 100000 lifetime migrants from the Middle East each year,4350,4424
11,Since 9/11 hundreds of migrants and their children have been implicated in terrorism in the United States,4804,4909
12,Hillary Clinton wants to dramatically increase admissions from the Middle East bringing in many hundreds of thousands during a first term – and we will have no way to screen them pay for them or prevent the second generation from radicalizing,5183,5425
13,We need to protect all Americans of all backgrounds and all beliefs from Radical Islamic Terrorism - which has no place in an open and tolerant society,5652,5803
14,Radical Islam advocates hate for women gays Jews Christians and all Americans,6123,6200
15,I am going to be a President for all Americans and I am going to protect and defend all Americans,6582,6679
16,We are going to make America safe again and great again for everyone,7091,7159
17,- Donald J,7571,7581
18,Trump   ,7993,7998
