,sentence,start,end
0,"""Hello! Thank you! Thank you so much",0,36
1,Thank you,434,443
2,Thank you so very much,841,863
3,Wow what – what a wonderful welcome,1261,1296
4,It is great to be here in Fort Pierce in this beautiful theater,1694,1757
5,I love being in the Sunshine State,2155,2189
6,I really want to recognize a few people: U.S,2544,2588
7,Congresswoman Lois Frankel is here as you saw Randy Perkins a candidate for Congress Kim Johnson chair of the St,2926,3038
8,Lucie County Commission Larry Lee Jr,3385,3421
9,state representative,3810,3830
10,Everyone all of the elected officials all of the students and young people it is wonderful to be with you,4176,4281
11,And I want to thank Eileen for her introduction,4612,4659
12,We know how hard that nurses like Eileen work and now that she is retired she is volunteering for our campaign,4968,5078
13,This woman never quit and Eileen we are so glad you are on our team,5364,5431
14,"""I am grateful to all of the elected officials all of the commissioners the county commissioners Martin County St",5742,5855
15,Lucie for all you do for the community but especially for all you did this summer to clean up the algae that polluted the water that threatened wildlife and made life hard for local residents and businesses,6123,6329
16,This is a serious and complicated problem isnt it for the entire Treasure Coast,6609,6688
17,And it is a reminder if we needed it how important good leadership is,7027,7096
18,"So I thank all the leaders for their commitment."" Now there are just 39 days between now and November 8th",7400,7505
19,Just 39 days left in the most important election in our lifetimes,7817,7882
20,"""Weve got to make every single day count",8213,8253
21,We have to get more people registered to vote get more people committed to turn out to vote,8586,8677
22,We have to drive home the stakes in this election: stronger families safer communities and an economy that works for everyone not just those at the top,8957,9108
23,And underneath all of the rhetoric and the coverage and the back and forth this campaign really comes down to two questions,9392,9515
24,"What kind of future we want for ourselves our kids and our grandkids and how do we make it a reality?"" Now as I said it the other night – how many of you saw the debate? Well as I said I now have two grandchildren and no offense to anybody the two most wonderful amazing extraordinary",9691,9975
25,A little girl and a little boy,10187,10217
26,So I think a lot about the future,10558,10591
27,And you may have noticed that my opponent and I have different views about – well nearly everything when it gets right down to it – not just about what makes America great because I think America already is great – but about what we should do to make it even greater and about that basic question about how progress happens at all,10793,11123
28,"""My opponent believes in what I call a strongman approach",11329,11386
29,He stood on that stage at his convention and described a hopeless broken nation,11707,11786
30,I am sorry I am looking at you,12116,12146
31,I dont see that,12488,12503
32,That in no way resembles the strong vibrant America I know,12835,12893
33,And heres what he said,13240,13262
34,He said I alone can fix it,13625,13651
35,"I alone?"" ""Well we have learned that thats his way",13994,14044
36,One person getting supreme power and exercising it ruthlessly,14396,14457
37,Thats why he admires dictators like Vladimir Putin so much,14812,14870
38,But thats not how change happens in America,15245,15288
39,Its never just one person not even someone as powerful as the president,15663,15734
40,Every good our country has ever achieved has always happened because people have worked together to make it a reality,16058,16175
41,"Not just the wealthy or the powerful – all of us."" We see that every day across America and I bet many of you have been a part of it",16430,16562
42,Maybe you taught kids to read right? Or cleaned up your local park or the beach maybe you have organized a cancer walk or you have run a food drive,16771,16918
43,Whatever it is chances are you have done something to serve your community,17192,17266
44,And by extension your country,17602,17631
45,"""How many of you – just think back over your lives – how many of you have performed some kind of service of some sort for your community for other people",17926,18079
46,The reason I know you have is because tens and tens of millions of Americans do some kind of volunteering in your hometowns every single year,18318,18459
47,Its one of the best things about the American people,18764,18816
48,We are doers,19179,19191
49,We dont just shrug our shoulders when we see something that needs fixing we dont get resigned or pathetic or blame other people and turn on each other to find scapegoats,19508,19677
50,"We roll up our sleeves we get to work to try to make things better in our neighborhood our community our city our state our country."" This has been our story the American story since the beginning of our nation and it is still going strong today",19864,20109
51,Now for many Americans including a lot of you here serving our country has included serving in our Armed Forces,20330,20441
52,"People are starting to call out their services! ""There is no greater service or sacrifice and we are grateful to our men and women in uniform to their families and our veterans every single day",20699,20892
53,"But whats so great is that national service can take many different forms and its something that I believe in so deeply that every stage of our lives gives us the chance from grade school through grandparenthood to find a way to give back."" ""Weve got folks here today from AmeriCorps which my husband created back in 1993 and Ill tell you to this day it is one of his proudest achievements",21007,21396
54,Because very day AmeriCorps volunteers are out there,21575,21627
55,Theyre building houses responding to natural disasters helping people with disabilities find jobs find safe places to live and next week on October 7th AmeriCorps will celebrate a major milestone: their one-millionth member,21969,22192
56,Ill tell you Bill is really excited about this and so am I,22497,22555
57,And by the way AmeriCorps has one of the best swearing in pledges I have ever heard,22878,22961
58,Heres how it starts: I will get things done for America,23276,23331
59,"Isnt that great? I think we should make that a national slogan."" ""Now we also have folks here today from City Year which is part of AmeriCorps",23629,23771
60,And every day theyre working with students who are risk of dropping out of school,24075,24156
61,Theyre tutoring and mentoring and running after school clubs – all to help young people really discover how capable they really are and to be empowered and to stay in school,24444,24617
62,"Im really grateful to them."" We also have people here today from the Peace Corps which represents the best of America to the world",24871,25001
63,Peace Corps volunteers are teaching English in Kosovo staffing health centers in Nicaragua supporting farmers in Nepal distributing malaria nets in Uganda,25312,25466
64,Both as First Lady and as Secretary of State I got to see the results of their work first hand,25769,25863
