,File Name,Candidate,Sentence,Propaganda Segment,Loaded_Language,"Name_Calling,Labeling",Repetition,"Exaggeration,Minimisation",Doubt,Appeal_to_fear-prejudice,Flag-Waving,Causal_Oversimplification,Slogans,Appeal_to_Authority,Black-and-White_Fallacy,Thought-terminating Cliches,"Whataboutism,Straw_Men,Red_Herring","Obfuscation,Intentional_Vagueness,Confusion",Num Prop,Propaganda Segments
0,DT_press_release_114.txt,DT,Trump received the endorsement of two true American heroes who fought against all odds in a hostile foreign land to save more than twenty-five American lives,,,,3,,,,,,,,,,,,3.0,"true American heroes, fought against all odds, American"
1,DT_press_release_114.txt,DT,"Mark ""OZ"" Geist and John ""TIG"" Tiegen are two of the individuals responsible for the defense and rescue of dozens of Americans during the terror attacks on the U.S",,,,1,,,,,,,,,,,,1.0,Americans
2,DT_press_release_114.txt,DT,"Trump stated ""I am truly honored to have the support of these American heroes the best of their generation",,,,,,,,1,,,,,,,,1.0,American heroes the best of their generation The American people can know with certainty I will always place their interest above all else I am the most militaristic person
3,DT_press_release_114.txt,DT,The American people can know with certainty I will always place their interest above all else,,,,,,,,2,,,,,,,,2.0,"American people, ""always place their interest above all else I am the most militaristic person and it is so important to me to strengthen our military and protect American families and freedoms."""""""
4,DT_press_release_114.txt,DT,"I am the most militaristic person and it is so important to me to strengthen our military and protect American families and freedoms."" Mark ""OZ"" Geist said ""We perhaps more than any Americans know the absolute and imperative reason that we elect Donald J",,,1,,,,,,,,,,,,,1.0,militaristic person
5,DT_press_release_114.txt,DT,First and foremost under a Trump administration the request for additional security by an ambassador would have been heeded and second there is no question when the attack camehe would have moved heaven and earth to provide the necessary forces to protect and reinforce our warriors,,1,,,,,,,,,,,,,,2.0,"moved heaven and earth, our warriors Mr Trump is the bold decisive leader America needs at this time"
6,DT_press_release_114.txt,DT,"Oz added ""Under President Trump many conflicts will be avoided because our enemies will fear the United States and our military."" John Tiegen added ""It is very clear to see the groundswell of support never seen before in recent politics",,,,,,,,1,,,,,,,,1.0,"""our enemies will fear the United States and our military."""""""
7,DT_press_release_114.txt,DT,Americans want a strong leader one who cares more about the safety and freedom of the American people than he does winning elections or what the press might think,,,,,,,,1,,,,,,,,1.0,Americans want a strong leader one who cares more about the safety and freedom of the American people than he does winning elections or what the press might think
8,DT_press_release_276.txt,DT,"Trumps achievement of exceeding the 1237 delegates needed to clench the Republican nomination:"" ""I congratulate Donald Trump for his primary victory against a field of seventeen formidable candidates",,,,1,,,,,,,,,,,,1.0,formidable candidates
9,DT_press_release_276.txt,DT,The American people made their voices loud and clear,,,,1,,,,,,,,,,,,1.0,The American people made their voices loud and clear They do not want more of the same
10,DT_press_release_276.txt,DT,They do not want more of the same,,,,,,,,1,,,,,,,,1.0,They do not want more of the same
11,DT_press_release_276.txt,DT,Yet as we move to the general election more of the same is exactly what Hillary Clinton offers,,,,1,,,,,,,,,,,,1.0,more of
12,DT_press_release_276.txt,DT,More failed trade deals more failed foreign adventures more lawlessness in our immigration system,,,,,,,,1,,,,,,,,1.0,More failed trade deals more failed foreign adventures more lawlessness in our immigration system
13,DT_press_release_276.txt,DT,Donald Trump on the other hand stood against powerful forces and the conventional thinking of a comfortable establishment to boldly declare that our country is on the wrong track that current policies are not working and that prosperity is steadily slipping away from the American people,,,,,,,,1,,,,,,,,1.0,our country is on the wrong track that current policies are not working and that prosperity is steadily slipping away from the American people
14,DT_press_release_276.txt,DT,His vision provides an historic opportunity to unify our people and break through old battle lines to enable the greatness of America to arise again,,,,,,,,1,,,,,,,,1.0,the greatness
15,DT_press_release_276.txt,DT,Donald Trump cares that working Americans are hurting he understands the policy errors that have caused it to happen and importantly he is determined to use all his strength and skill to get us on the right track again,,,,,,,,1,,,,,,,,1.0,working Americans
16,DT_press_release_276.txt,DT,"""There is so much that must be done – and done before its too late",,,,1,,,,,,,,,,,,1.0,"""""""There is so much that must be done – and done before its too late"""
17,DT_press_release_276.txt,DT,He will finally respect and respond to the American peoples demand for a lawful immigration system that serves Americas interests,,,,,,,,1,,,,,,,,1.0,American
18,DT_press_release_276.txt,DT,A vote for Hillary Clinton is a vote for a failed status quo that for too long has put the special interests ahead of the peoples interests,,,,,,,,,,,,1,,,,1.0,"""A vote for Hillary Clinton is a vote for a failed status quo that for too long has put the special interests ahead of the peoples interests A vote for Donald Trump is a vote for American security sovereignty and prosperity."""""""
19,DT_press_release_276.txt,DT,"Trump and his millions of supporters to make America great again."" ",,,,1,,,,,,,,,,,,1.0,millions of
20,DT_press_release_289.txt,DT,"We no longer feel compelled to work with a publication which has put its need for ""clicks"" above journalistic integrity",,,,2,,,,,,,,,,,,2.0,"We no longer feel compelled to work, ""a publication which has put its need for """"clicks"""" above journalistic integrity """"They have no journalistic integrity and write falsely about Mr Trump Mr Trump does not mind a bad story but it has to be honest"""
21,DT_press_release_302.txt,DT,To date the campaigns fundraising has been incredible and we continue to see a tremendous outpouring of support for Mr,,,,1,,,,,,,,,,,,1.0,incredible
22,DT_press_release_302.txt,DT,"The positive response to our fundraising efforts so far is a further indication that the country does not want yet another corrupt politician like Crooked Hillary."" Mr",,,,,,,,1,,,,,,,,1.0,"""the country does not want yet another corrupt politician like Crooked Hillary."""""""
23,DT_press_release_302.txt,DT,"Our campaign is leaner and more efficient like our government should be."" ",,,,,,,,1,,,,,,,,1.0,our government
24,DT_press_release_316.txt,DT,"After winning the most votes in the history of a Republican primary contest we are taking our messages to the people so that we can Make American Great Again."" ",,,,1,,,,,,,,,,,,2.0,"the most votes in the history of a Republican primary contest, ""we can Make American Great Again."""""""
25,DT_remarks_476.txt,DT,I am going to fight so hard for all of you and I am going to bring back the jobs that have been stripped away from you and your country,,,,1,,,,,,,,,,,,1.0,your country
26,DT_remarks_476.txt,DT,It is going to be a victory for YOU the American people,,,,1,,,,,,,,,,,,1.0,for YOU the American people
27,DT_remarks_476.txt,DT,We are going to take on the special interests the lobbyists and the powerful politicians that have stolen your jobs your wealth and your middle class,,,,1,,,,,,,,,,,,1.0,the special interests the lobbyists and the powerful politicians that have stolen your jobs your wealth and your middle class
28,DT_remarks_476.txt,DT,We are going to take on the arrogant corrupt corporate media that have enabled the global theft of American prosperity – a theft that has left behind crumbling schools roads bridges and a depleted military,,,,,,,,2,,,,,,,,2.0,"the arrogant corrupt corporate media, the global theft of American prosperity"
29,DT_remarks_476.txt,DT,"Everyone knows shes for it because she doesnt believe in protecting American Sovereignty."" Hillary Clinton only believes in protecting one thing: her donors",,,,,,,,,1,,,,,,,1.0,"""she doesnt believe in protecting American Sovereignty."""" Hillary Clinton only believes in protecting one thing"""
30,DT_remarks_476.txt,DT,Hillary Clinton is an insider fighting only for herself and for her donors,,,,1,,,,,,,,,,,,1.0,an insider fighting only for herself and for her donors
31,DT_remarks_476.txt,DT,"""We are the ones who are going to change the system so its fair and just for every American."" We have a movement",,,,,,,,1,,,,,,,,1.0,"""to change the system so its fair and just for every American."""""""
32,DT_remarks_476.txt,DT,The corrupt establishment is panicking because they know how hard it is to stop us,,,,2,,,,,,,,,,,,2.0,"corrupt establishment, panicking"
33,DT_remarks_476.txt,DT,"""The arrogant political class doesnt believe in protecting jobs and wages for Americans."" ""They dont believe in secure borders and strong walls."" ""These Washington and Wall Street insiders dont believe in hiring more police producing more American energy or giving school choice to poor children trapped in failing schools."" ""For decades weve talked about the corruption incompetence and failures of our leaders",,,,,,,,,,,,1,,,,4.0,"""""""They dont believe in secure borders and strong walls."""""", """"""These Washington and Wall Street insiders dont believe in hiring more police producing more American energy or giving school choice to poor children trapped in failing schools."""""", corruption incompetence, our leaders"
34,DT_remarks_476.txt,DT,"If you do this one simple thing you can deliver justice for every single person who has been wronged by the system: show up and vote."" ""When you cast that ballot just picture a Wall Street boardroom filled with the special interests who have been bleeding this county dry and imagine the look on their faces when you tell all of them: youre fired."" In their place will be a new government",,,1,,,,,,,,,,,,,1.0,the special interests who have been bleeding this county dry
35,DT_remarks_476.txt,DT,"So we are going to spell it out for them today."" The large corporations who support terrible trade deals that ship your jobs overseas – they are donating to Hillary Clinton",,,,1,,,,,,,,,,,,1.0,The large corporations who support terrible trade deals that ship your jobs overseas
36,DT_remarks_476.txt,DT,The Wall Street investors who have rigged the regulations against the middle class – they are donating to Hillary Clinton,,,,1,,,,,,,,,,,,1.0,The Wall Street investors who have rigged the regulations against the middle class
37,DT_remarks_476.txt,DT,The wealthy donors who want to shut down American energy – they are donating to Hillary Clinton,,,,1,,,,,,,,,,,,1.0,The wealthy donors who want to shut down American energy
38,DT_remarks_476.txt,DT,13 phones missing several destroyed with a hammer,,,,1,,,,,,,,,,,,1.0,destroyed
39,DT_remarks_476.txt,DT,"So heres my question for Hillary Clinton: can you promise that not one of the five people who were granted criminal immunity will ever be allowed to serve in a Clinton Administration?"" And here is the demand I am making today to President Obama: will you pledge here and now not to issue a pardon to Hillary Clinton and her co-conspirators for their many crimes against our country and society itself? No one is above the law",,,,,,1,,,,,,,,,,3.0,"can you, crimes against our country and society itself, No one is above the"
40,DT_remarks_476.txt,DT,Clinton and her cronies will say anything do anything lie about anything to keep their grip on power – to keep their control over this country,,,,,,,,1,,,,,,,,1.0,keep their control over this country
41,DT_remarks_476.txt,DT,Remember the Clinton pardon of fugitive Marc Rich in exchange for unknown and undisclosed amounts of money? The American people have had it with years decades of Clinton Corruption and scandals,,,,1,,,,,,,,,,,,2.0,"fugitive Marc Rich, The American people have had it with years decades of Clinton Corruption and scandals They are tired of the lies they are tired of the trivial politics they are tired of being talked down to looked"
42,DT_remarks_476.txt,DT,This will be the year the American people say: Enough is enough,,,,,,,,1,,,,,,,,1.0,Enough is enough Hillary Clinton has been a disaster for so many communities
43,DT_remarks_476.txt,DT,Hillary Clinton has been a disaster for so many communities but especially for African-American communities,,,,,,,,1,,,,,,,,1.0,disaster for so many communities
44,DT_remarks_476.txt,DT,I dont think African-Americans are going to come out and vote for Clinton – they are too smart and they know they are being used,,,,,,,,1,,,,,,,,1.0,they know they are being used
45,DT_remarks_476.txt,DT,They also know that shell do nothing for them once the election is over – she never does and that will never change,,,,,,,,2,,,,,,,,2.0,"shell do nothing for, she never does"
46,DT_remarks_476.txt,DT,"Many of them will never forget her calling young African-American men ""super-predators."" To the African-American community let me ask you this question: are you better off than you were eight years ago? If not vote for Donald Trump",,,,1,,,,,,,,,,,,1.0,"""""""super-predators."""""""
47,DT_remarks_476.txt,DT,We are going to pass the biggest tax cut since Ronald Reagan,,,,1,,,,,,,,,,,,1.0,the biggest tax cut since Ronald Reagan Every wasteful and unnecessary regulation
48,DT_remarks_476.txt,DT,The catastrophe known as Obamacare will be repealed and replaced,,,,1,,,,,,,,,,,,1.0,catastrophe known as
49,DT_remarks_476.txt,DT,And the disastrous trade deals like NAFTA that have caused so much pain in Michigan will be renegotiated – and we will bring back your auto-manufacturing,,,,,,,,,,,,1,,,,1.0,disastrous trade deals
