,sentence,start,end
0,"""I was in the Reagan administration for 8 years",0,47
1,I was Vice President George H.W,459,490
2,Bushs National Security Advisor for over six years,902,952
3,I traveled with him to over 65 countries,1364,1404
4,"""In my view the two great diplomatic overtures since World War II were carried out by Republicans – Nixon to China and President George H",1780,1917
5,Bushs outreach to Gorbachev and the Soviet Union after the collapse of the Berlin Wall,2205,2291
6,"""But we now have a person at the top of Republican ticket who I believe is dangerous doesnt understand the complex world we live in doesnt care to and is without any moral or international philosophy",2554,2753
7,"""Ive met Hillary Clinton a number of times and followed her career in public service",3116,3200
8,Im impressed with her knowledge and experience,3633,3679
9,"She would make an extremely good President."" ",4112,4156
