Today the Reverend Dr, 0, 4
Otis Moss, 4, 6
Jr one of Americas most influential theologians and civil rights leaders endorsed Hillary Clinton for President calling her a leader with "… wisdom sound judgement spiritual strength and moral courage." Rev, 6, 37
Dr, 37, 38
Moss Jr, 38, 40
served as the Pastor of Olivet Institutional Baptist Church in Cleveland Ohio before retiring after 33 years of service, 40, 59
He was also the co-pastor of Ebenezer Baptist Church with Rev, 59, 70
Dr, 70, 71
Martin Luther King Jr, 71, 75
in Atlanta Georgia, 75, 78
The Reverend Dr, 78, 81
Otis Moss, 81, 83
Jr, 83, 84
Mrs, 84, 85
Hillary Clinton is our best hope for moving the U.S, 85, 95
Supreme Court out of the hands of right wing anti-civil rights anti-voting rights anti-human rights judges, 95, 111
The next president will shape the U.S, 111, 118
Supreme Court for perhaps the next 50 years! By that time the millennials will be nearing (80) years old, 118, 137
Their children and grandchildren will be the living with the results of the 2016 election, 137, 152
The next president will nominate three or four U.S, 152, 161
Supreme Court justices plus score of federal district and appeals court judges, 161, 173
We need Hillary Clinton to be our next president because she is qualified, 173, 186
She is prepared, 186, 189
She is dedicated, 189, 192
She is an activist in the struggles of the common life for the common good and has the record to prove it, 192, 214
She did not wait 70 years to "think" about civil rights and human rights, 214, 228
She is committed activist nationally and globally, 228, 235
She is the epitome of excellence, 235, 241
Let me repeat Hillary Clinton will save the U.S, 241, 250
Supreme Court from political arsonists obstructionists and destroyers of the civil rights human rights and voting rights, 250, 267
All the right wing extremists know this, 267, 274
This is why they are endorsing and supporting Trump – including some who tend to despise him, 274, 291
Mrs, 291, 292
Clinton will fight for voting rights protection health care for all and education for all without crippling debts, 292, 310
Hillary Clinton will give extraordinary national and global leadership, 310, 319
Leadership anchored in reason wisdom sound judgement spiritual strength and moral courage, 319, 331
"She has been and remains active in her faith commitment from her youth, 331, 344
She has embraced The Holy Scriptures from her youth and knows the names of the books of her Bible and the unsearchable riches contained therein, 344, 369
She knows the songs and hymns and music of her faith and does not scorn and demean other faith traditions, 369, 389
She believes in the total Constitution - not just one or two amendments such as states rights and gun rights." She does not bully her way through life, 389, 417
She has the courage of kindness the endurance of long-suffering and the joys of Amazing Grace, 417, 433
She loves children of all races colors and ethnicities rich and poor rural urban and suburban healthy and ill victorious and vulnerable immigrant and Native American and those whose ancestors came in chains, 433, 466
This includes the well housed and the homeless, 466, 474
She does not seek votes from one group by hating and insulting other groups, 474, 488
Mrs, 488, 489
Clinton deserves and needs our support and votes, 489, 497
If her opponent should win we all lose; children youth and adults, 497, 509
We can all win with Hillary Clinton, 509, 516


