,sentence,start,end
0,Thank you,0,9
1,I am honored to be here today,419,448
2,Let me extend my special gratitude to General Ashenhurst and General Hargett and to each and every one of you,858,967
3,The National Guard of the United States has defended this nation at war kept our citizens safe at home and rushed into danger wherever it has threatened our people,1351,1514
4,Our debt to you is eternal,1823,1849
5,Yesterday was the 15th anniversary of the 9/11 attacks,2212,2266
6,The National Guard was sent to assist in the aid and recovery efforts at Ground Zero in New York City,2602,2703
7,Since 9/11 there have been 780000 members of the National Guard deployed overseas – including those with multiple deployments,3023,3148
8,Right now 10000 members of the National Guard are in Iraq Afghanistan and many other countries across the world,3486,3597
9,Members of the National Guard come from all walks of life work in every kind of job imaginable and juggle a thousand different challenges as they raise their kids serve their states and answer the call of duty for their country,3858,4085
10,If I am given the honor to serve as your President I will pledge to give you the resources the equipment and the support you need and deserve,4296,4437
11,You will have a true and loyal friend in the White House,4711,4767
12,Whether you vote for me or whether you vote for someone else I will be your greatest champion,5064,5157
13,I will not let you down,5464,5487
14,"""I am running to be a President for all Americans – and Ive been especially humbled to have the support of so many of our men and women in uniform."" ""All across this country Ive met so many incredible members of both our military and law enforcement community",5724,5983
15,"Theres nothing Ive enjoyed more than the time Ive spent with our service members police officers and also our firefighters and paramedics."" They embody the goodness and decency of our country",6191,6382
16,I was thus deeply shocked and alarmed this Friday to hear my opponent attack slander smear and demean these wonderful amazing people who are supporting our campaign,6667,6831
17,Our support comes from every part of America and every walk of life,7152,7219
18,We have the support of cops and soldiers carpenters and welders the young and the old and millions of working class families who just want a better future,7528,7682
19,These were the people Hillary Clinton so viciously demonized,8031,8091
20,These were among the countless Americans that Hillary Clinton called deplorable irredeemable and un-American,8486,8594
21,She called these patriotic men and women every vile name in the book – she called them racist sexist xenophobic and Islamaphobic,8955,9083
22,"She called them a ""basket of deplorables"" in both a speech and an interview",9427,9502
23,She divides people into baskets as though they were objects not human beings,9855,9931
24,Hillary Clinton made these comments at one of her high-dollar fundraisers in Wall Street,10288,10376
25,She and her wealthy donors all had a good laugh,10722,10769
26,They were laughing at the very people who pave the roads she drives on paint the buildings she speaks in and keep the lights on in her auditorium,11067,11212
27,Hillary Clinton is an insider supported by powerful insiders attacking Americans who have no political power,11521,11629
28,Hillary Clinton spoke with hatred and derision for the people who make this country run,11984,12071
29,She spoke with contempt for the people who thanklessly follow the rules pay their taxes and scratch out a living for their families,12418,12549
30,While Hillary Clinton lives a sequestered life behind gates and walls and guards she mocks and demeans hardworking Americans who only want their own families to enjoy a fraction of the security enjoyed by our politicians,12819,13039
31,After months of hiding from the press Hillary Clinton has revealed her true thoughts,13331,13415
32,She revealed herself to be a person who looks down on the proud citizens of our country as subjects for her to rule over,13723,13843
33,Her comments displayed the same sense of arrogance and entitlement that led her to violate federal law as Secretary of State hide and delete her emails put classified information in the reach of our enemies lie to Congress and sell government favors and access through her Foundation,14059,14342
34,"""Its the same attitude that explains why Hillary Clinton refuses to take accountability for the deadly disasters she helped to create in Iraq in Syria and in Libya."" ""To this day she still wont take accountability for her role in unleashing ISIS across the Middle East – or for putting Iran on the path to a nuclear weapon."" Hillary Clinton believes she is above the law that she is above accountability and that she is above each and every one of you",14412,14863
35,"""Our campaign is about giving voice to the voiceless",15021,15073
36,"Its about representing the forgotten men and women of this country."" ""Im here to represent everyone but especially those who are struggling against injustice and unfairness."" ""I am running so that the powerful can no longer beat up on the powerless",15372,15620
37,"Im running to take on the special interests the big donors and the corrupt political insiders."" I am running to be your voice",15877,16002
38,"""Hillary Clinton is a voice for Wall Street for hedge fund managers for the top tenth of the one percent",16286,16390
39,"Just look at the people funding Hillary Clintons campaign and paying for her speeches and youll know who she represents."" The disdain that Hillary Clinton expressed towards millions of decent Americans disqualifies her from public service",16660,16898
40,"""You cannot run for President if you have such contempt in your heart for the American voter",17200,17292
41,"You cant lead this nation if you have such a low opinion of its citizens."" ""Hillary Clinton still hasnt apologized to those she slandered",17606,17743
42,"In fact she hasnt backed down at all – shes doubled-down on her campaign of conspiracy and contempt."" ""If Hillary Clinton will not retract her comments in full then I dont see how she can credibly campaign."" ""Lets be clear",17992,18214
43,These were not offhand comments from Hillary Clinton,18506,18558
44,These were not stray remarks in an interview or an accidental choice of words,18923,19000
