"In response to Donald Trumps repeated claim that Hillary Clinton does not look presidential HFA Deputy Communications Director Christina Reynolds offered the following statement:" "This isnt the first time Donald Trump has had a problem looking at someone different from himself and actually seeing them, 0, 45
He questioned whether a distinguished judge could do his job because of his Mexican heritage, 45, 60
He looked at a mourning Gold Star mother and he made assumptions about her silence in grief, 60, 77
He looked at an accomplished anchor and suggested she was a "bimbo." And he looked at a sitting president and said he wasnt American, 77, 101
So its not surprising that Donald Trump doesnt think Hillary Clinton looks presidential, 101, 114
This cycle voters know all too well whats not presidential: Donald Trump and his narrow views and divisive rhetoric." TRUMP: Do you know that these people went to every attorney general practically in the country that they could and did you know this case was turned down by almost every attorney general from Texas to Florida to many other states? "TAPPER: Is it not – when Hillary Clinton says this is a racist attack and you reject that – if youre saying he cant do his job because of his race is that not the definition of racism?" "TRUMP: No, 114, 214
I dont think so at all." TAPPER: No? "TRUMP: No, 214, 224
Hes proud of his heritage, 224, 229
I respect him for that." "TAPPER: But youre saying you cant do his job because of that." "TRUMP: Look hes proud of his heritage OK? Im building a wall, 229, 258
Now I think Im going to do very well with Hispanics" "TAPPER: Hes a legal citizen – TRUMP: Do you know why Im going to do well with Hispanics? Because Im going to bring back jobs and they are going to get jobs right now, 258, 303
They are going to get jobs, 303, 309
I think Im going to do very well with Hispanics, 309, 319
But we are building a wall, 319, 325
Hes a Mexican, 325, 328
Were building a wall between here and Mexico, 328, 336
The answer is he is giving us very unfair rulings rulings that people cant even believe, 336, 352
This case should have ended years ago in summary judgment, 352, 362
The best lawyers I have spoken to so many lawyers they said this is not a case, 362, 379
This is a case that should have ended, 379, 387
CNN The Lead 6/3/16" xa0Fusionxa0 xa0"every time that Trumpxa0 ." "Donald J, 387, 399
Trump belittled the parents of a slain Muslim soldier who had strongly denounced Mr, 399, 413
Trump during the Democratic National Conventionxa0saying that the soldiers father had delivered the entire speech because his mother was not allowed to speak…But he added If you look at his wife she was standing there she had nothing to say she probably — maybe she wasnt allowed to have anything to say you tell me." New York Timesxa0 ; This Week ABCxa0  @realDonaldTrump Twitterxa0  xa0 andxa0 , 413, 479
xa0"Donald Trump says hes still not convinced President Obama was born in America but that hes not interested in rehashing the issue, 479, 501
I dont know, 501, 504
I really dont know the 2016 Republican presidential candidate told CNN when asked onxa0Thursday, 504, 518
I dont know why he wouldnt release his records." The Hillxa0 xa0"Trump has been an outspoken critic of President Obama and was perhaps the most prominent voice of the birther movement which asserted erroneously that Obama was not a natural-born U.S, 518, 559
citizen.xa0On Monday he took a shot at the newest entrant to the 2016 Republican field Jeb Bush tweeting: Do we really need another Bush in the White House — we have had enough of them, 559, 594
If theres one thing Trump brings to the 2016 campaign its confidence, 594, 606
Im the most successful person ever to run for the presidency by far he told The Des Moines Register in a recent interview." USA Todayxa0  "I just dont think she has a presidential look, 606, 640
And you need a presidential look, 640, 646
You have to get the job done" Trump said, 646, 655
ABCxa0  xa0"CLEVELAND – TRUMP on Clinton: "Does she look presidential fellas? Give me a break."" Kevin Cirilli Twitterxa0  xa0TRUMP: "Beyond that shes pledged to add another executive amnesty in violation of both congressional law and the United States constitution, 655, 694
These actions from Hillary Clinton will trigger a crises greater than almost anything weve seen, 694, 709
This will be a constitutional crisis like we havent seen in our country, 709, 722
In effect shes pledging to abolish the law making powers of congress and assume the powers of an imperial leader, 722, 742
Shes not an imperial leader is she? I dont think so, 742, 753
She doesnt even look Presidential to me, 753, 760
She certainly doesnt." Roast N Ride Des Moines IA 8/27/16 xa0TRUMP: "These people are not like Oh gee I think Hillary is so great, 760, 784
She looks so presidential, 784, 788
You see her walk onto the state she looks presidential, 788, 798
I dont think so, 798, 802
I think I look presidential to be honest with you, 802, 812
Honestly who do you think China would be more concerned in a negotiation with? Trump or Hillary?" Trump Campaign Rally Fort Lauderdale FL 8/10/16 TRUMP: "Now you tell me she looks presidential folks, 812, 845
I look presidential, 845, 848
You tell me you tell me she looks Presidential, 848, 857
They are just watching and theyre looking and boy theyre salivating theyre salivating theyre saying thats what we want oh thats what we want, 857, 881
You know what she did and the lies that she told over and over again and her single greatest achievement because everything shes touched has turned bad." Trump Campaign Rally Windham NH 8/6/16 @realDonaldTrump Twitterxa0  , 881, 916


